Profiling Report: transition_w_pvm
Date: 2025-06-12
==================================================

         3505034 function calls (3500883 primitive calls) in 1.488 seconds

   Ordered by: cumulative time
   List reduced from 1190 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.489    1.489 /Users/prasad/projects/tessera/tsr-py/jam/state/state.py:88(transition)
        1    0.000    0.000    1.371    1.371 /Users/prasad/projects/tessera/tsr-py/jam/accumulation/accumulation.py:395(transition)
      2/1    0.000    0.000    1.349    1.349 /Users/prasad/projects/tessera/tsr-py/jam/accumulation/accumulation.py:158(seq_accumulation)
        1    0.000    0.000    1.349    1.349 /Users/prasad/projects/tessera/tsr-py/jam/accumulation/accumulation.py:226(parallel_accumulation)
        1    0.000    0.000    1.349    1.349 /Users/prasad/projects/tessera/tsr-py/jam/accumulation/accumulation.py:291(single_accumulation)
        1    0.001    0.001    1.348    1.348 /Users/prasad/projects/tessera/tsr-py/jam/execution/host_calls/invocations/accumulate.py:63(execute)
        1    0.000    0.000    1.346    1.346 /Users/prasad/projects/tessera/tsr-py/jam/execution/host_calls/invocations/arg_invoke.py:18(execute)
     36/1    0.000    0.000    1.207    1.207 /Users/prasad/projects/tessera/tsr-py/jam/execution/host_calls/host_call.py:14(execute)
       36    0.050    0.001    0.925    0.026 /Users/prasad/projects/tessera/tsr-py/jam/execution/pvm/pvm.py:15(execute)
    78934    0.068    0.000    0.857    0.000 /Users/prasad/projects/tessera/tsr-py/jam/execution/pvm/instructions/inst_map.py:76(execute_instruction)
       41    0.000    0.000    0.319    0.008 /Users/prasad/projects/tessera/tsr-py/jam/state/merkle/merkle.py:123(update)
   867/41    0.003    0.000    0.310    0.008 /Users/prasad/projects/tessera/tsr-py/jam/state/merkle/merkle.py:132(_reconstruct_root)
       35    0.000    0.000    0.282    0.008 /Users/prasad/projects/tessera/tsr-py/jam/execution/host_calls/invocations/protocol.py:29(dispatch)
       35    0.000    0.000    0.280    0.008 /Users/prasad/projects/tessera/tsr-py/jam/execution/host_calls/invocations/functions/protocol.py:19(execute)
     3724    0.177    0.000    0.199    0.000 /opt/anaconda3/envs/Bandersnatch/lib/python3.12/site-packages/tsrkit_types/bytes_common.py:39(to_bits)
        7    0.000    0.000    0.176    0.025 /Users/prasad/projects/tessera/tsr-py/jam/execution/host_calls/invocations/functions/general_fns.py:337(write)
        7    0.000    0.000    0.175    0.025 /Users/prasad/projects/tessera/tsr-py/jam/state/accounts.py:164(__setitem__)
    44786    0.037    0.000    0.172    0.000 /Users/prasad/projects/tessera/tsr-py/jam/execution/pvm/instructions/tables/ii_reg_i_imm.py:22(vx)
      875    0.003    0.000    0.161    0.000 /Users/prasad/projects/tessera/tsr-py/jam/state/merkle/utils.py:20(encode_branch)
    15623    0.024    0.000    0.150    0.000 /Users/prasad/projects/tessera/tsr-py/jam/execution/pvm/instructions/tables/ii_reg_i_imm.py:219(load_ind_impl)
     1663    0.028    0.000    0.136    0.000 /Users/prasad/projects/tessera/tsr-py/jam/execution/pvm/instructions/tables/ii_reg_i_imm.py:83(op_imm_impl)
    12818    0.021    0.000    0.124    0.000 /Users/prasad/projects/tessera/tsr-py/jam/execution/pvm/instructions/tables/ii_reg_i_imm.py:207(store_ind_impl)
       63    0.000    0.000    0.124    0.002 /opt/anaconda3/envs/Bandersnatch/lib/python3.12/site-packages/tsrkit_types/itf/codable.py:60(decode)
        1    0.002    0.002    0.122    0.122 /Users/prasad/projects/tessera/tsr-py/jam/execution/pvm/program.py:167(decode_from)
   199065    0.053    0.000    0.116    0.000 /Users/prasad/projects/tessera/tsr-py/jam/execution/pvm/instructions/instruction_table.py:23(skip_index)
    89572    0.033    0.000    0.110    0.000 /Users/prasad/projects/tessera/tsr-py/jam/execution/pvm/instructions/tables/ii_reg_i_imm.py:18(lx)
        7    0.000    0.000    0.097    0.014 /Users/prasad/projects/tessera/tsr-py/jam/state/accounts.py:227(__setitem__)
      922    0.083    0.000    0.089    0.000 /opt/anaconda3/envs/Bandersnatch/lib/python3.12/site-packages/tsrkit_types/bytes_common.py:11(from_bits)
    12870    0.013    0.000    0.084    0.000 /Users/prasad/projects/tessera/tsr-py/jam/execution/pvm/instructions/tables/ii_reg_i_imm.py:153(add_imm_impl)
     6397    0.014    0.000    0.076    0.000 /Users/prasad/projects/tessera/tsr-py/jam/execution/pvm/instructions/tables/i_reg_i_imm_i_offset.py:72(branch_u_imm_impl)


